field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
1,target_date,string,TRUE,TRUE,Target date (the day this snapshot's data covers),,ファイル名の日付(juyo_05_YYYYMMDD.csv),"Derived from the source file name, not a CSV column. One file = one row."
2,file_updated_at,string,FALSE,TRUE,"Raw file update timestamp line, e.g. '2025/06/09 00:13 UPDATE'",,1行目(UPDATE時刻),Kept as raw string; Silver parses it. Used to pick the latest of same-day revisions alongside source_data.
3,interval5_00_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:00",,当日実績(5分間隔値)(万kW),
4,interval5_00_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:00",,太陽光発電実績(5分間値)(万kW),
5,interval5_00_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:05",,当日実績(5分間隔値)(万kW),
6,interval5_00_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:05",,太陽光発電実績(5分間値)(万kW),
7,interval5_00_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:10",,当日実績(5分間隔値)(万kW),
8,interval5_00_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:10",,太陽光発電実績(5分間値)(万kW),
9,interval5_00_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:15",,当日実績(5分間隔値)(万kW),
10,interval5_00_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:15",,太陽光発電実績(5分間値)(万kW),
11,interval5_00_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:20",,当日実績(5分間隔値)(万kW),
12,interval5_00_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:20",,太陽光発電実績(5分間値)(万kW),
13,interval5_00_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:25",,当日実績(5分間隔値)(万kW),
14,interval5_00_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:25",,太陽光発電実績(5分間値)(万kW),
15,interval5_00_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:30",,当日実績(5分間隔値)(万kW),
16,interval5_00_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:30",,太陽光発電実績(5分間値)(万kW),
17,interval5_00_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:35",,当日実績(5分間隔値)(万kW),
18,interval5_00_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:35",,太陽光発電実績(5分間値)(万kW),
19,interval5_00_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:40",,当日実績(5分間隔値)(万kW),
20,interval5_00_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:40",,太陽光発電実績(5分間値)(万kW),
21,interval5_00_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:45",,当日実績(5分間隔値)(万kW),
22,interval5_00_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:45",,太陽光発電実績(5分間値)(万kW),
23,interval5_00_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:50",,当日実績(5分間隔値)(万kW),
24,interval5_00_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:50",,太陽光発電実績(5分間値)(万kW),
25,interval5_00_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 00:55",,当日実績(5分間隔値)(万kW),
26,interval5_00_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 00:55",,太陽光発電実績(5分間値)(万kW),
27,interval5_01_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:00",,当日実績(5分間隔値)(万kW),
28,interval5_01_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:00",,太陽光発電実績(5分間値)(万kW),
29,interval5_01_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:05",,当日実績(5分間隔値)(万kW),
30,interval5_01_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:05",,太陽光発電実績(5分間値)(万kW),
31,interval5_01_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:10",,当日実績(5分間隔値)(万kW),
32,interval5_01_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:10",,太陽光発電実績(5分間値)(万kW),
33,interval5_01_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:15",,当日実績(5分間隔値)(万kW),
34,interval5_01_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:15",,太陽光発電実績(5分間値)(万kW),
35,interval5_01_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:20",,当日実績(5分間隔値)(万kW),
36,interval5_01_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:20",,太陽光発電実績(5分間値)(万kW),
37,interval5_01_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:25",,当日実績(5分間隔値)(万kW),
38,interval5_01_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:25",,太陽光発電実績(5分間値)(万kW),
39,interval5_01_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:30",,当日実績(5分間隔値)(万kW),
40,interval5_01_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:30",,太陽光発電実績(5分間値)(万kW),
41,interval5_01_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:35",,当日実績(5分間隔値)(万kW),
42,interval5_01_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:35",,太陽光発電実績(5分間値)(万kW),
43,interval5_01_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:40",,当日実績(5分間隔値)(万kW),
44,interval5_01_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:40",,太陽光発電実績(5分間値)(万kW),
45,interval5_01_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:45",,当日実績(5分間隔値)(万kW),
46,interval5_01_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:45",,太陽光発電実績(5分間値)(万kW),
47,interval5_01_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:50",,当日実績(5分間隔値)(万kW),
48,interval5_01_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:50",,太陽光発電実績(5分間値)(万kW),
49,interval5_01_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 01:55",,当日実績(5分間隔値)(万kW),
50,interval5_01_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 01:55",,太陽光発電実績(5分間値)(万kW),
51,interval5_02_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:00",,当日実績(5分間隔値)(万kW),
52,interval5_02_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:00",,太陽光発電実績(5分間値)(万kW),
53,interval5_02_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:05",,当日実績(5分間隔値)(万kW),
54,interval5_02_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:05",,太陽光発電実績(5分間値)(万kW),
55,interval5_02_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:10",,当日実績(5分間隔値)(万kW),
56,interval5_02_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:10",,太陽光発電実績(5分間値)(万kW),
57,interval5_02_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:15",,当日実績(5分間隔値)(万kW),
58,interval5_02_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:15",,太陽光発電実績(5分間値)(万kW),
59,interval5_02_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:20",,当日実績(5分間隔値)(万kW),
60,interval5_02_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:20",,太陽光発電実績(5分間値)(万kW),
61,interval5_02_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:25",,当日実績(5分間隔値)(万kW),
62,interval5_02_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:25",,太陽光発電実績(5分間値)(万kW),
63,interval5_02_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:30",,当日実績(5分間隔値)(万kW),
64,interval5_02_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:30",,太陽光発電実績(5分間値)(万kW),
65,interval5_02_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:35",,当日実績(5分間隔値)(万kW),
66,interval5_02_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:35",,太陽光発電実績(5分間値)(万kW),
67,interval5_02_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:40",,当日実績(5分間隔値)(万kW),
68,interval5_02_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:40",,太陽光発電実績(5分間値)(万kW),
69,interval5_02_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:45",,当日実績(5分間隔値)(万kW),
70,interval5_02_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:45",,太陽光発電実績(5分間値)(万kW),
71,interval5_02_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:50",,当日実績(5分間隔値)(万kW),
72,interval5_02_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:50",,太陽光発電実績(5分間値)(万kW),
73,interval5_02_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 02:55",,当日実績(5分間隔値)(万kW),
74,interval5_02_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 02:55",,太陽光発電実績(5分間値)(万kW),
75,interval5_03_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:00",,当日実績(5分間隔値)(万kW),
76,interval5_03_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:00",,太陽光発電実績(5分間値)(万kW),
77,interval5_03_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:05",,当日実績(5分間隔値)(万kW),
78,interval5_03_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:05",,太陽光発電実績(5分間値)(万kW),
79,interval5_03_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:10",,当日実績(5分間隔値)(万kW),
80,interval5_03_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:10",,太陽光発電実績(5分間値)(万kW),
81,interval5_03_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:15",,当日実績(5分間隔値)(万kW),
82,interval5_03_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:15",,太陽光発電実績(5分間値)(万kW),
83,interval5_03_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:20",,当日実績(5分間隔値)(万kW),
84,interval5_03_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:20",,太陽光発電実績(5分間値)(万kW),
85,interval5_03_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:25",,当日実績(5分間隔値)(万kW),
86,interval5_03_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:25",,太陽光発電実績(5分間値)(万kW),
87,interval5_03_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:30",,当日実績(5分間隔値)(万kW),
88,interval5_03_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:30",,太陽光発電実績(5分間値)(万kW),
89,interval5_03_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:35",,当日実績(5分間隔値)(万kW),
90,interval5_03_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:35",,太陽光発電実績(5分間値)(万kW),
91,interval5_03_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:40",,当日実績(5分間隔値)(万kW),
92,interval5_03_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:40",,太陽光発電実績(5分間値)(万kW),
93,interval5_03_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:45",,当日実績(5分間隔値)(万kW),
94,interval5_03_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:45",,太陽光発電実績(5分間値)(万kW),
95,interval5_03_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:50",,当日実績(5分間隔値)(万kW),
96,interval5_03_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:50",,太陽光発電実績(5分間値)(万kW),
97,interval5_03_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 03:55",,当日実績(5分間隔値)(万kW),
98,interval5_03_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 03:55",,太陽光発電実績(5分間値)(万kW),
99,interval5_04_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 04:00",,当日実績(5分間隔値)(万kW),
100,interval5_04_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 04:00",,太陽光発電実績(5分間値)(万kW),
101,interval5_04_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 04:05",,当日実績(5分間隔値)(万kW),
102,interval5_04_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 04:05",,太陽光発電実績(5分間値)(万kW),
103,interval5_04_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 04:10",,当日実績(5分間隔値)(万kW),
104,interval5_04_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 04:10",,太陽光発電実績(5分間値)(万kW),
105,interval5_04_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 04:15",,当日実績(5分間隔値)(万kW),
106,interval5_04_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 04:15",,太陽光発電実績(5分間値)(万kW),
107,interval5_04_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 04:20",,当日実績(5分間隔値)(万kW),
108,interval5_04_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 04:20",,太陽光発電実績(5分間値)(万kW),
109,interval5_04_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 04:25",,当日実績(5分間隔値)(万kW),
110,interval5_04_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 04:25",,太陽光発電実績(5分間値)(万kW),
