field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
1,delivery_date,date,TRUE,TRUE,Business delivery date in JST calendar,,受渡日,
2,area_name,string,TRUE,TRUE,"Area name(hokkaido, tohoku, tokyo, chubu, hokuriku, kansai, chugoku, shikoku, kyushu)",,エリア名,
3,avg_price,decimal,FALSE,FALSE,Mean area price over the day (Yen/kWh),,平均エリア価格(円/kWh),
4,min_price,decimal,FALSE,FALSE,Minimum area price over the day (Yen/kWh),,最小エリア価格(円/kWh),
5,max_price,decimal,FALSE,FALSE,Maximum area price over the day (Yen/kWh),,最大エリア価格(円/kWh),
6,median_price,decimal,FALSE,FALSE,Median area price over the day (Yen/kWh),,中央値エリア価格(円/kWh),
7,p05_price,decimal,FALSE,FALSE,5th percentile of area price over the day (Yen/kWh),,エリア価格5パーセンタイル(円/kWh),
8,p95_price,decimal,FALSE,FALSE,95th percentile of area price over the day (Yen/kWh),,エリア価格95パーセンタイル(円/kWh),
9,stddev_price,decimal,FALSE,FALSE,Population standard deviation of area price over the day,,エリア価格標準偏差,
10,intraday_range,decimal,FALSE,FALSE,max_price - min_price,,日中レンジ,
11,avg_system_price,decimal,FALSE,FALSE,Mean system price over the day; identical across areas,,平均システムプライス(円/kWh),
12,avg_spread,decimal,FALSE,FALSE,Mean of area_price - system_price over the day,,平均システムプライス乖離,
13,max_abs_spread,decimal,FALSE,FALSE,Largest absolute area_price - system_price over the day,,最大システムプライス乖離,
14,split_time_code_count,int,FALSE,TRUE,Time codes whose area price differed from the system price,,市場分断コマ数,
15,spike_time_code_count,int,FALSE,TRUE,Time codes whose area price reached the spike threshold,,スパイクコマ数,
16,floor_time_code_count,int,FALSE,TRUE,Time codes whose area price sat at the price floor,,下限張り付きコマ数,
17,time_code_count,int,FALSE,TRUE,Time codes present for this date and area; 48 when complete,,実在コマ数,
