field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
1,power_plant_code,string,TRUE,TRUE,Power plant code,,発電所コード,
2,area,string,TRUE,TRUE,Power plant located area,,エリア,
3,power_plant_name,string,TRUE,TRUE,Power plant name,,発電所名,
4,unit_name,string,FALSE,FALSE,Power plant unit name,,ユニット名,
5,power_generation_method_and_fuel_type,string,FALSE,FALSE,Power generation method and fuel type,,発電方式・燃種,
6,target_date,string,TRUE,TRUE,Target date,,対象日,
7,timeslot_00_30,string,FALSE,FALSE,Power generation actuals at 00:30[kWh],,00:30[kWh],
8,timeslot_01_00,string,FALSE,FALSE,Power generation actuals at 01:00[kWh],,01:00[kWh],
9,timeslot_01_30,string,FALSE,FALSE,Power generation actuals at 01:30[kWh],,01:30[kWh],
10,timeslot_02_00,string,FALSE,FALSE,Power generation actuals at 02:00[kWh],,02:00[kWh],
11,timeslot_02_30,string,FALSE,FALSE,Power generation actuals at 02:30[kWh],,02:30[kWh],
12,timeslot_03_00,string,FALSE,FALSE,Power generation actuals at 03:00[kWh],,03:00[kWh],
13,timeslot_03_30,string,FALSE,FALSE,Power generation actuals at 03:30[kWh],,03:30[kWh],
14,timeslot_04_00,string,FALSE,FALSE,Power generation actuals at 04:00[kWh],,04:00[kWh],
15,timeslot_04_30,string,FALSE,FALSE,Power generation actuals at 04:30[kWh],,04:30[kWh],
16,timeslot_05_00,string,FALSE,FALSE,Power generation actuals at 05:00[kWh],,05:00[kWh],
17,timeslot_05_30,string,FALSE,FALSE,Power generation actuals at 05:30[kWh],,05:30[kWh],
18,timeslot_06_00,string,FALSE,FALSE,Power generation actuals at 06:00[kWh],,06:00[kWh],
19,timeslot_06_30,string,FALSE,FALSE,Power generation actuals at 06:30[kWh],,06:30[kWh],
20,timeslot_07_00,string,FALSE,FALSE,Power generation actuals at 07:00[kWh],,07:00[kWh],
21,timeslot_07_30,string,FALSE,FALSE,Power generation actuals at 07:30[kWh],,07:30[kWh],
22,timeslot_08_00,string,FALSE,FALSE,Power generation actuals at 08:00[kWh],,08:00[kWh],
23,timeslot_08_30,string,FALSE,FALSE,Power generation actuals at 08:30[kWh],,08:30[kWh],
24,timeslot_09_00,string,FALSE,FALSE,Power generation actuals at 09:00[kWh],,09:00[kWh],
25,timeslot_09_30,string,FALSE,FALSE,Power generation actuals at 09:30[kWh],,09:30[kWh],
26,timeslot_10_00,string,FALSE,FALSE,Power generation actuals at 10:00[kWh],,10:00[kWh],
27,timeslot_10_30,string,FALSE,FALSE,Power generation actuals at 10:30[kWh],,10:30[kWh],
28,timeslot_11_00,string,FALSE,FALSE,Power generation actuals at 11:00[kWh],,11:00[kWh],
29,timeslot_11_30,string,FALSE,FALSE,Power generation actuals at 11:30[kWh],,11:30[kWh],
30,timeslot_12_00,string,FALSE,FALSE,Power generation actuals at 12:00[kWh],,12:00[kWh],
31,timeslot_12_30,string,FALSE,FALSE,Power generation actuals at 12:30[kWh],,12:30[kWh],
32,timeslot_13_00,string,FALSE,FALSE,Power generation actuals at 13:00[kWh],,13:00[kWh],
33,timeslot_13_30,string,FALSE,FALSE,Power generation actuals at 13:30[kWh],,13:30[kWh],
34,timeslot_14_00,string,FALSE,FALSE,Power generation actuals at 14:00[kWh],,14:00[kWh],
35,timeslot_14_30,string,FALSE,FALSE,Power generation actuals at 14:30[kWh],,14:30[kWh],
36,timeslot_15_00,string,FALSE,FALSE,Power generation actuals at 15:00[kWh],,15:00[kWh],
37,timeslot_15_30,string,FALSE,FALSE,Power generation actuals at 15:30[kWh],,15:30[kWh],
38,timeslot_16_00,string,FALSE,FALSE,Power generation actuals at 16:00[kWh],,16:00[kWh],
39,timeslot_16_30,string,FALSE,FALSE,Power generation actuals at 16:30[kWh],,16:30[kWh],
40,timeslot_17_00,string,FALSE,FALSE,Power generation actuals at 17:00[kWh],,17:00[kWh],
41,timeslot_17_30,string,FALSE,FALSE,Power generation actuals at 17:30[kWh],,17:30[kWh],
42,timeslot_18_00,string,FALSE,FALSE,Power generation actuals at 18:00[kWh],,18:00[kWh],
43,timeslot_18_30,string,FALSE,FALSE,Power generation actuals at 18:30[kWh],,18:30[kWh],
44,timeslot_19_00,string,FALSE,FALSE,Power generation actuals at 19:00[kWh],,19:00[kWh],
45,timeslot_19_30,string,FALSE,FALSE,Power generation actuals at 19:30[kWh],,19:30[kWh],
46,timeslot_20_00,string,FALSE,FALSE,Power generation actuals at 20:00[kWh],,20:00[kWh],
47,timeslot_20_30,string,FALSE,FALSE,Power generation actuals at 20:30[kWh],,20:30[kWh],
48,timeslot_21_00,string,FALSE,FALSE,Power generation actuals at 21:00[kWh],,21:00[kWh],
49,timeslot_21_30,string,FALSE,FALSE,Power generation actuals at 21:30[kWh],,21:30[kWh],
50,timeslot_22_00,string,FALSE,FALSE,Power generation actuals at 22:00[kWh],,22:00[kWh],
51,timeslot_22_30,string,FALSE,FALSE,Power generation actuals at 22:30[kWh],,22:30[kWh],
52,timeslot_23_00,string,FALSE,FALSE,Power generation actuals at 23:00[kWh],,23:00[kWh],
53,timeslot_23_30,string,FALSE,FALSE,Power generation actuals at 23:30[kWh],,23:30[kWh],
54,timeslot_24_00,string,FALSE,FALSE,Power generation actuals at 24:00[kWh],,24:00[kWh],
55,daily_amount,string,FALSE,FALSE,Daily amount power generation,,日量[kWh],
56,updated_datetime,string,TRUE,TRUE,Updated datetime,,更新日時,
