"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"10001","北海道","泊発電所","１号機","原子力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"10001","北海道","泊発電所","２号機","原子力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"10001","北海道","泊発電所","３号機","原子力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"13017","北海道","京極発電所","１号機","水力","2025/11/25","11880","10890","12870","11880","11880","11880","4950","0","0","0","0","0","0","0","0","1980","2970","990","0","0","0","0","0","0","0","0","0","2970","0","0","0","0","0","0","0","0","0","0","8910","9900","4950","0","0","0","0","0","0","0","108900","2025/11/26 15:30:06"
"13017","北海道","京極発電所","２号機","水力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"16206","北海道","新冠発電所","１号機","水力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10890","44550","43560","42570","22770","0","0","0","0","0","0","0","0","0","0","0","164340","2025/11/26 15:30:06"
"16206","北海道","新冠発電所","２号機","水力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5940","43560","42570","41580","6930","990","0","0","0","0","0","0","0","0","0","0","141570","2025/11/26 15:30:06"
"16212","北海道","高見発電所","１号機","水力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"16212","北海道","高見発電所","２号機","水力","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38610","47520","48510","47520","48510","47520","48510","47520","12870","0","0","0","0","387090","2025/11/26 15:30:06"
"10203","北海道","奈井江発電所","１号機","火力（石炭）","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"10212","北海道","奈井江発電所","２号機","火力（石炭）","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"10602","北海道","砂川発電所","３号機","火力（石炭）","2025/11/25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/11/26 15:30:06"
"10215","北海道","砂川発電所","４号機","火力（石炭）","2025/11/25","56430","55440","56430","55440","56430","55440","56430","55440","56430","55440","56430","55440","56430","55440","56430","55440","56430","55440","56430","49500","37620","27720","18810","18810","18810","25740","33660","41580","51480","55440","55440","55440","55440","55440","55440","55440","55440","55440","55440","55440","55440","55440","55440","55440","56430","55440","55440","55440","2441340","2025/11/26 15:30:06"
