field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
1,delivery_date,string,TRUE,TRUE,Delivery date,month,受渡日,
2,time_code,string,TRUE,TRUE,Time code (1-48),,時刻コード,
3,selling_bid_volume,string,FALSE,FALSE,Selling bid volume (kWh),,売り入札量(kWh),
4,purchase_bid_volume,string,FALSE,FALSE,Purchase bid volume (kWh),,買い入札量(kWh),
5,contracted_volume,string,FALSE,FALSE,Total contracted volume (kWh),,約定総量(kWh),
6,system_price,string,FALSE,FALSE,System price (Yen/kWh),,システムプライス(円/kWh),
7,area_price_hokkaido,string,FALSE,FALSE,Area price Hokkaido (Yen/kWh),,エリアプライス北海道(円/kWh),
8,area_price_tohoku,string,FALSE,FALSE,Area price Tohoku (Yen/kWh),,エリアプライス東北(円/kWh),
9,area_price_tokyo,string,FALSE,FALSE,Area price Tokyo (Yen/kWh),,エリアプライス東京(円/kWh),
10,area_price_chubu,string,FALSE,FALSE,Area price Chubu (Yen/kWh),,エリアプライス中部(円/kWh),
11,area_price_hokuriku,string,FALSE,FALSE,Area price Hokuriku (Yen/kWh),,エリアプライス北陸(円/kWh),
12,area_price_kansai,string,FALSE,FALSE,Area price Kansai (Yen/kWh),,エリアプライス関西(円/kWh),
13,area_price_chugoku,string,FALSE,FALSE,Area price Chugoku (Yen/kWh),,エリアプライス中国(円/kWh),
14,area_price_shikoku,string,FALSE,FALSE,Area price Shikoku (Yen/kWh),,エリアプライス四国(円/kWh),
15,area_price_kyushu,string,FALSE,FALSE,Area price Kyushu (Yen/kWh),,エリアプライス九州(円/kWh),
16,block_selling_bid_volume,string,FALSE,FALSE,Block selling bid volume (kWh),,売りブロック入札総量(kWh),
17,block_selling_contracted_volume,string,FALSE,FALSE,Block selling contracted volume (kWh),,売りブロック約定総量(kWh),
18,block_purchase_bid_volume,string,FALSE,FALSE,Block purchase bid volume (kWh),,買いブロック入札総量(kWh),
19,block_purchase_contracted_volume,string,FALSE,FALSE,Block purchase contracted volume (kWh),,買いブロック約定総量(kWh),
